date,headline,abstract,document_type,type_of_material,news_desk,section_name,subjects
1/24/1882,"NATIONAL CAPITAL TOPICS; PROPOSED INTERNATIONAL TESTS FOR COLOR-BLINDNESS. DR. JEFFRIES, OF BOSTON, ADDRESSES THE HOUSE COMMITTEE ON NAVAL AFFAIRS-- AN INTERNATIONAL COMMISSION ADVOCATED--THE CAUSES OF COLOR-BLINDNESS AND HOW IT IS DISCOVERED.","Jeffries, B. J., on Legal Tests",article,Archives,None,Archives,['Color Blindness']
8/1/1887,ARBITRATION LOOKED FOR.,Philadelphia and Reading Railway's New Rules; Knights of Labor Protest,article,Archives,None,Archives,['Color Blindness']
8/6/1887,TESTING SIGHT AND HEARING.,Alabama Law; Philadelphia and Reading Railroad Rules,article,Archives,None,Archives,['Color Blindness']
8/9/1887,COLOR-BLIND CONTROVERSY.,Color-Blind and Educational Examinations; Knights of Labor Protest against New Rules,article,Archives,None,Archives,['Color Blindness']
9/9/1888,GOOD NEWS FOR THE DEAF.,Cure Indorsed by Physicians' Convention at Kansas City,article,Archives,None,Archives,['Deafness']
5/23/1892,NEW REMEDY FOR DEAFNESS.; DR. LEECH BELIEVES THAT THE PHONOGRAPH WILL CAUSE A CURE.,Phonograph Deafness Cure,article,Archives,None,Archives,['Deafness']
6/15/1892,HOMEOPATHISTS COMPARE NOTES.; SUCCESSFUL EXPERIMENTS IN RELIEVING THE WOES OF THE DEAF.,"Institute of Homeopathy; Annual Meeting; Dr. H. F. Garey's ""Deafness Cure"" Paper",article,Archives,None,Archives,['Deafness']
7/17/1892,TRICKS OF THE COLOR BLIND.; COACHED SO CLEVERLY THAT THEY SOMETIMES DECEIVE EXAMINERS.,Tricks to Evade Tests,article,Archives,None,Archives,['Color Blindness']
2/12/1893,COLOR BLINDNESS.,English Royal Society Council Committee Statistics; Edinburgh Review Article,article,Archives,None,Archives,['Color Blindness']
2/26/1893,STRANGE CAUSE FOr DEAFNESS.; SUDDEN SHOCKS OF FEELING THAT AFFECT THE HEARING.,Deafness Caused by Emotional Influences,article,Archives,None,Archives,['Deafness']
10/12/1893,MIRACLE OF THE PHONOGRAPH.; Edison's Invention Applied to the Scientific Cure of Deafness.,Phonograph Cure for Deafness Described,article,Archives,None,Archives,['Deafness']
12/23/1897,Boston Party Off to the Gold Fields.,New York Central Railroad's Tests for Employes,article,Archives,None,Archives,['Color Blindness']
7/12/1898,"A CURE FOR BLINDNESS; A Peculiar Method of Inhalation Invented by George H. Cassidy. MAY BE TRIED ON C.B. ROUSS John P. Martin, Said to Have Been Blind for Eleven Years, Demonstrates that His Sight Has Partially Returned.",Blindness Cassidy Cure Tested,article,Archives,None,Archives,['Blindness']
7/9/1906,"PROF. BELL'S REPORT ON THE BLIND AND DEAF; Consanguinity a Factor in Those Congenitally Afflicted. SCHOOLS' EXCELLENT WORK One In Every 1,200 Blind and One In Every 850 Deaf in the United States in 1909.",Prof A G Bell's rept cites statistics,article,Archives,None,Archives,"['Deafness', 'BLINDNESS AND THE BLIND']"
1/6/1910,"""TANNHAEUSER"" SUNG AGAIN.; Mme. Jane Osborn-Hannah Makes Her First Appearance as Elisabeth. WILFRED CLARK TO WED. Miss Meinken's Parents, Deaf Mutes, Give Written Consent to Marriage. LAWRENCE GETS INJUNCTION. Joseph M. Weber Restrained from Disbursing Profits of ""The Climax."" Metropolitan's Next Week Opera Bills. Grand Opera by American Composer.","Actors W Clark and Miss G A Meinkin, both deaf-mutes, to wed, NYC",article,Archives,None,Archives,['Deafness']
4/14/1910,"CHARGES MONOPOLY IN STOCK ENGRAVING; Head of Rival Concern Says New York Exchange Backs American Bank Note Company. MEMBERS OWN IT, HE SAYS Tells Committee at Albany Stock Buyers Thus Lose $1,500,000 Annually, and Offers Letters In Evidence.","NY Bank Note Co pres G H Kendall charges NYSE refuses to list a stock unless ctfs were supplied by Amer Banknote Co, HR com hearing; says NYSE members own co",article,Archives,None,Archives,"['Immigration and Emigration', 'Murders and Attempted Murders', 'Deafness', 'Stocks and Bonds']"
4/17/1910,DEAF BUT NOT DUMB.; The Reception at the Waldorf for Practice of Lip Reading.,"lr says participants were deaf, not dumb",article,Archives,None,Archives,['Deafness']
4/23/1910,HEBREW DEAF MUTES UNITE IN WORSHIP; First Jewish Congregation for the Afflicted Holds a Service in Temple Emanuel.,"Emanu-El Temple, NYC: Hebrew Congregation for Deaf holds opening service for 125 deaf-mutes; Rabbi J Silverman conducts regular service, S Cohen interprets ser in sign language",article,Archives,None,Archives,"['Deafness', 'SYNAGOGUES AND JEWISH CENTERS']"
6/17/1910,MENAGERIE IN TRAIN WRECK.; Seven Animals Escape and Terrorize Neighborhood Until Recaptured.,"66 boys and girls of St Joseph Inst for Improved Instruction of Deaf-Mutes dance to music, act in plays and take part in athletics in annual exhibition, Bronx, NY",article,Archives,None,Archives,['Deafness']
7/25/1910,DR. SCRIPTURE TELLS NEEDS 0F DEAF MUTES; Columbia University Authority Outlines the Best Method of Teaching Them to Speak.,"Dr E W Scripture on needs of deaf-mutes, s, NY County Med Soc",article,Archives,None,Archives,['Deafness']
8/1/1910,MUTES TO HAVE A CHURCH.; Father McCarthy to Start Subscriptions to Build One Here.,"Rev M J McCarthy plans fund drive for bldg RC Ch for deaf and dumb, NYC",article,Archives,None,Archives,"['ROMAN CATHOLIC CHURCHES', 'Deafness']"
12/18/1910,Lip Movements and Lip Reading.,Lr on interpreting and teaching of lip reading,article,Archives,None,Archives,['Deafness']
12/21/1910,Lip Reading.,Volta Rev Dept for Lip Readers ed E W Nitchie lr explains lip reading,article,Archives,None,Archives,['Deafness']
12/24/1910,DEAF TAUGHT TO SPEAK.; Very Few Cannot Learn to Talk and Read the Lips of Others.,"F K Noyes, ed of Amer Assn to Promote Teaching of Speech to Deaf, lr on teaching the deaf and deaf-mutes to speak",article,Archives,None,Archives,['Deafness']
12/26/1910,Lip Reading.,"L M Bemis, phonetics and visible speech teacher, lr says easiest lips to read are those whose speech is normal",article,Archives,None,Archives,['Deafness']
12/8/1911,Is Not Inherent in Unfortunates Born Deaf.,Lr deploring use of term 'dumb' when referring to the deaf,article,Archives,None,Archives,['Deafness']
3/3/1912,'PHONE FOR DEAF AND DUMB.; Mutes Perfect an Instrument on Principle of Typewriter.,"W E Shaw, Lynn, Mass, shows telephone for use of deaf-mutes",article,Archives,None,Archives,['Deafness']
3/11/1912,ARMY DISPLAY IN FRANCE.; President Fallieres Reviews Troops and Watches Aeroplane Manoeuvres.,Fallieres and Cabinet rev Paris garrison,article,Archives,None,Archives,"['France', 'Deafness']"
3/12/1912,MAKE MUTES SPEAK BY SOUND VIBRATION; Public Exhibition of Work Done at the New York Institution for Deaf and Dumb.,NY Inst for Deaf & Dumb demonstrates its sound vibration system of instruction,article,Archives,None,Archives,['Deafness']
8/2/1912,DEAF MUTES IN CONGRESS.; Many Nations Represented in Great Gathering in Paris.,"Deaf & Dumb Cong opens, Paris",article,Archives,None,Archives,['Deafness']
11/4/1912,SPAIN'S QUEEN SEEKS HELP HERE FOR CHILD; Orders Court Physician to Study Helen Keller to Aid Deaf Mute Prince.,Rev Dr J E Price explains Clerical Conf resolution; says conf holds Gaynor ultimately responsible for conditions in city,article,Archives,None,Archives,"['Deafness', 'Crime and Criminals']"
12/9/1912,DEDICATE HOUSE FOR DEAF MUTES; Bishop Greer Officiates at Services in the Gallaudet Memorial Guild Building.,"Bishop Greer officiates at dedication of Gallaudet Memorial Guild Bldg for deaf mutes, NYC",article,Archives,None,Archives,"['Salvation Army', 'Deafness']"
5/15/1913,Majority of Cases Said to Arise After Birth.,letter on deafness among children,article,Archives,None,Archives,"['BEST, HARRY', 'Deafness']"
4/6/1914,RADIUM FOR DEAFNESS.; Wealthy American Sends an Agent to Study-European Treatment.,Report that radium cures aural troubles being investigated in Europe,article,Archives,None,Archives,"['RADIUM', 'USES', 'Deafness']"
4/10/1914,RADIUM FOR DEAFNESS.; German Doctor Says He Has Cured 50 Per Cent. of His Recent Cases.,"congress of European ear specialists to meet at Cologne, will discuss treatment by radium",article,Archives,None,Archives,"['RADIUM', 'USES', 'Deafness']"
4/27/1914,"DEAF NOT AIDED BY RADIUM; Decision of German Specialists, but Experiments to Continue.",says deafness is not aided by radium treatment,article,Archives,None,Archives,"['HUGEL,', 'CRONENBERG,', 'RADIUM', 'USES', 'Deafness']"
4/5/1915,Learn Lip Reading in Time.,Letter on advantages of lip reading,article,Archives,None,Archives,['Deafness']
5/29/1915,DANCES AND GAMES BY DEAF CHILDREN; An Interesting Exhibition for the Benefit of Teachers in Training. SHOW RHYTHM IS MASTERED Elementary and Trade School with 300 Pupils Is the Only One of Its Kind in the State.,exhibition given by pupils of P. S. 47 for benefit of teachers in training,article,Archives,None,Archives,"['New York City', 'BOARD OF EDUCATION', 'Deafness']"
9/1/1915,MOVIES CURE DEAF-MUTE.; Wounded Soldier Recovers Faculties at Entertainment In Liverpool.,R. Beck cured by laughing at moving pictures,article,Archives,None,Archives,"['BECK, ROBERT', 'Deafness']"
9/8/1915,Stricken Blind After Movies.,Charles McDonald stricken,article,Archives,None,Archives,"['MOVING PICTURES', 'Blindness']"
11/8/1915,"R.B. MANTELL POSES FOR FILM TRAGEDY; Noted Shakespearean Actor Seen in ""The Blindness of Devotion"" in Two Houses Here. 'MME. BUTTERFLY' PLEASES Mary Pickford a Winsome Cho Cho San ;- Marguerite Clark Well Cast in ""Still Waters.""","Robert B. Mantell, dean of American Shakespearean actors, made his début as a screen star yesterday simultaneously in the Riverside Theatre and the Academy of Music. The picture, which was from the studios of William Fox, was entitled ""The Blindness of Devotion."" If the title does not suggest the scenario, read this from the program:The story combines beauty, love, hatred, revenge, and action in a powerful and interesting manner. The plot deals with the marriage for money of Renee Delaveaux, an adventuress, to Count de Carney. The Count is the guardian of Pierre Cavereaux, a young soldier who, while visiting the Count, carries on a disgraceful intrigue with Renee. Another complication arises when Pierre, growing tired of Renee's fascinations, meets and loves Bella, the Count's beautiful niece. The Count discovers the liaison between Renee and Pierre but Bella, who is also aware of the affair, disarms suspicion by entering into a loveless marriage with Pierre. The sleeping demon in Renee's soul is aroused by this action and she attempts to poison the Count but fate rules against her, bringing this remarkable drama to a climax of overwhelming power and surprising realism.Undoubtedly Mr. Mantell is paid well for his services in his new field of endeavor, and he should be. For an actor who has devoted so many years to the classics, and who could probably recite from memory every line Shakespeare ever wrote in a play, to have to grimace through such a wordless drama must be something of a trial.John Luther Long's story, ""Madame Butterfly,"" after having been dramatized and made into an opera has finally reached the movies. A picture version was shown yesterday in the Strand, with Mary Pickford in the rôle of Cho Cho San. David Belasco explained at great length last week that the picture was not based on his version. The screen arrangement was taken directly from Mr. Long's book. Miss Pickford made an attractive Japanese maiden, her diminutive stature being well adapted to the character. But notwithstanding her size and her black wig, she looked more Occidental than Oriental.Another Famous Players film is ""Still Waters,"" exhibited in the Broadway Theatre. Marguerite Clark is its star, and in the rôle of a child of the circus who finally is restored to the grandfather who became estranged with his daughter when she married a circus performer she is alluring in her girlish and fragile beauty. The grandfather is a canal boat captain, whence the title. In addition to scenes along the canal there are some glimpses of circus life.One feature of the movies in their favor is their silent nature. Were they otherwise a nervous person could not patronize them, so full of shooting are they. But with the camera as a silencer one may sit and watch with immunity. In the new Triangle film, ""The Lily and the Rose,"" for instance, the husband, being disappointed, shoots himself, as movie husbands are apt to do. But so quietly does he do it, thanks to the silent cinema, that the audience doesn't realize he is dead till the Rose finds him The photography of the picture is unusually good.",article,Review,,Archives,"['MOTION PICTURES', 'Blindness of Devotion, The', 'Lily and the Rose, The', 'Madame Butterfly', 'STILL WATERS']"
1/21/1917,OLD HURT MAY CAUSE DEATH; Russian Who Cut Off Toe to Escape Military Duty Loses Leg.,"M. Kaminossky, who cut off his toe to escape military duty in Russia, is obliged to have his leg amputated",article,Archives,None,Archives,"['OPERATIONS', 'AMPUTATION']"
5/4/1918,"VETERAN'S SIGHT RESTORED; Operation Relieves Skeyhill, Blinded at Gallipoli.",sight restored by operation,article,Archives,None,Archives,"['SKEYHILL, THOMAS', 'SURGICAL OPERATIONS', 'Blindness']"
9/7/1919,MANY DEATHS DUE TO WOOD ALCOHOL; Increases in Fatalities and in Blindness Recently Shown by Records. WARNS OF PERIL IN USE Committee for Prevention of Blind ness Begins Nation-Wide Cam paign of Education.,Natl Com for the Prevention of Blindness warns against number of deaths and cases of blindness caused by wood alcohol,article,Archives,None,Archives,"['NATIONAL COM FOR THE PREVENTION OF BLINDNESS', 'WOOD ALCOHOL', 'BLIND, THE', 'Blindness']"
6/3/1923,CHILDREN HELP PREVENT BLINDNESS,Com enlists young of country in its campaign,article,Archives,None,Archives,"['NATL COM FOR THE PREVENTION OF BLINDNESS', 'Blindness']"
7/11/1923,"ITALIAN TENOR NOW BLIND.; Operation Fails to Restore Sight of Borgatti, Singer of Wagner Roles.",becomes totally blind,article,Archives,None,Archives,"['BORGATTI, GIUSEPPE', 'Blindness']"
7/18/1923,"AMERICAN MAY OPERATE ON KING ALFONSO'S SON; Dr. Muncie of Brooklyn Leaves Paris Today, Presumably to At- tend the Deaf Don Jaime.","Dr C H Muncie, osteopath, will go to Europe to operate on a deaf prince (probably Don Jaime of Spain)",article,Archives,None,Archives,"['MUNCIE , CURTIS H', 'JAIME--', 'Deafness']"
7/18/1923,Scorned Anaesthetics for Amputation; Dying Man Under Car Thinks Only of Wife,"J O'Connor, crushed under subway car, has legs amputated on spot, dies",article,Archives,None,Archives,"['SURGICAL OPERATIONS', 'AMPUTATION WITHOUT ANAESTHETICS']"
7/22/1923,Correspondent Tells of New Delights for the Hard of Hearing.,lr on radio for the deaf,article,Archives,None,Archives,"['GEBHARD, JNO G', 'Deafness']"
8/2/1923,"TELLS OF CURING PRINCE BORN DEAF; Dr. Muncie Says That, Besides Paris Operation, He Treated 141 Poor Persons Abroad.","returns to U S; tells of curing prince born deaf, and other cures",article,Archives,None,Archives,"['JAIME', 'MUNCIE , CURTIS H', 'SPANISH PRINCE', 'Deafness']"
9/21/1923,News Condensed,attacked by N H Swayne,article,Archives,None,Archives,"['HACKENSACK, N J', 'New York City', 'CHICAGO, ILL', 'WEST VA', 'Italy', 'United States', 'RUMANIA', 'NEW MILFORD, N J', 'N Y C', 'Mexico', 'ROME, ITALY', 'DETROIT, MICH', 'N Y C', 'HACKENSACK, N J', 'N Y C', 'Mount Vernon', 'PLAINFIELD, N J', 'BETTER BUSINESS BUR', 'AMER ELECTRO-THERAPEUTICS ASSN', ""N Y CREDIT MEN'S ASSN"", 'DIPLOMATIC SERVICE', 'COLGATE UNIV', ""NATL CHAIN STORE GROCERS' ASSN"", 'AMHERST COLLEGE', 'AMER DRUGLESS ASSN', 'COOLIDGE , CALVIN', 'CREAGER, R B', 'ADLER, CASH', 'MASSEY, , WM FERGUSON', 'ALCORN, ALBERT E', 'PREIS, CARL G', 'DIXON, FRANK', 'SWAYNE, NOAH H', 'HARDING WARREN GAMALIEL', 'COOLIDGE , CALVIN', 'HARDING WARREN GAMALIEL', 'HERRIOT, EDOUARD', 'COOLIDGE , CALVIN', 'ARMSTRONG, CHAS A', 'PINCHOT GIFFORD', 'CORCORAN, WM J', 'RICHARDSON , J J', 'BURNBAUM, JACOB', 'COX , CHANNING HARRIS', 'BROWN , J ALEX', 'MEDLER, J L', 'GALVIN, JAS J', 'AMSTER, NATHAN LEONARD', 'ROCKHOLD, GEO', 'MOY YUEN', 'Railroads', 'MURDERS', 'SPANISH-AMER WAR', 'SUICIDES AND ATTEMPTS AT SUICIDE', 'NATL CONVENTION OF BETTER BUSINESS BURS', 'FIRES', 'COAL STRIKES', 'Royal Family', 'Railroads', 'ACCIDENTS', 'RAILROAD', 'COMMERCIAL DEBTS', 'Assaults', 'Railroads', 'ROBBERIES AND ASSAULTS', 'BIBLIOGRAPHY', 'Smuggling', 'Deafness', 'Forgery', 'ROBBERIES AND ASSAULTS', 'FIRES', 'Coal', 'MURDERS', 'Taxation', 'CHAIN STORES', 'IMPERSONATORS', 'ADVERTISING', 'Ethics', 'X-Rays', 'SUICIDES AND ATTEMPTS AT SUICIDE', 'Churches', 'INITIATIVE, REFERENDUM AND RECALL']"
10/16/1923,CUT OFF HER LEG LYING UNDER CAR; Two Doctors Operate on Nurse by Flashlight After She Is Run Down.,"Two doctors, working by flashlight, amputate foot of Alice O'Connor to release her from surface car wheels",article,Archives,None,Archives,"['N Y C', 'CALDER , WM M', 'Coal', 'SURGICAL OPERATIONS', 'AMPUTATIONS']"
10/25/1923,"GIVES u25,000 TO AID THE DEAF OF LONDON; G.E. Duveen Founds Chair at University and Provides for Treatment in Hospital.",G E Duveen founds chair at Univ of London and provides for treatment at Univ College Hospital,article,Archives,None,Archives,"['LONDON UNIV', 'MAURICE, PETER', 'DUVEEN, GEOFFREY E', 'MODELS', 'Deafness']"
11/10/1923,Amputates Finger to Avoid Work.,"Greensburgh, Pa, girl amputates finger to avoid work",article,Archives,None,Archives,"['SURGICAL OPERATIONS', 'AMPUTATIONS']"
3/4/1924,"Infantryman Goes Blind, Studying for West Point",F Flinchbaugh Jr becomes blind from too much study to enter West Point Military Academy,article,Archives,None,Archives,"['FLINCHBAUGH, FREDK, JR', 'Blindness']"
3/9/1924,TWO SECRETS OF HEALTH.,ed on suggestion of Sir Jas Cantlie on use of warming pan and nightcap,article,Archives,None,Archives,"['Deafness', 'HEALTH']"
4/20/1924,MAN TOTALLY BLIND RECOVERS HIS SIGHT; Physicians in Long Island College Hospital Amazed Over Case of Victor Atwell.,V Atwell recovers sight,article,Archives,None,Archives,"['ATWELL, VICTOR', 'Blindness']"
8/4/1924,UPSHAW APPEALS FOR 'PRAYING WIVES'; Contrasts American Women With Those He Saw in Europe Drinking and Smoking.,Fourth of July accidents,article,Archives,None,Archives,"['NATL COM FOR PREVENTION OF BLINDNESS', 'UPSHAW WM DAVID', 'ACCIDENTS', 'Fireworks', 'PROHIBITION', 'ENFORCEMENT OF LAW', 'Blindness']"
8/9/1924,SCIENCE FINDS HAT IS FUNNIEST THING; Professor Kimmins of University of London So Declares After Years of Research in Humor.,"add on waste in oil production, at meeting of British Assn for the Advancement of Science at Toronto",article,Archives,None,Archives,"['U S', 'BRITISH ASSN FOR ADVANCEMENT OF SCIENCE', 'HRDLICKA , ALES', 'CHAMBERS , ROBT', 'MCDOUGALL , WM', 'BAKER , MANLEY BENSON', 'BJERKNES, J', 'KIMMINS , CHAS WM', 'ALEXANDER, J', 'BRAGG , WM HY', 'ROAF , HERBERT ELDON', 'DONNAN , FREDK G', 'BARKER , ERNEST', 'WATTS , W W', 'DISEASE GERMS', 'HUMOR', 'Mines and Mining', 'Geology', 'ACADEMIC FREEDOM', 'Color Blindness', 'FUEL', 'MOUNTAIN RANGES, BIRTH OF', 'ATOMS', 'OIL', 'WASTE IN PRODUCTION', 'ARCHAEOLOGY', 'ANTHROPOLOGY', 'PSYCHOLOGY', 'Weather', 'FORECASTING', 'ANCESTRY']"
11/28/1924,HEARING DAY IS SET FOR A NEW SUBWAY; Form of Contract for the Washington Heights Route Will Be Considered Dec. 16.,W Mack loses sight of eye from drinking wood alcohol,article,Archives,None,Archives,"['N Y S', 'Mount Vernon', 'MACK, WILLARD', 'ALCOHOLIC POISONING', 'Blindness']"
12/4/1924,"EYE IN MIDDLE OF HEAD, FISH HAS LIST TO PORT; Chicago Students Try Odd Experiments With Piscatorial Subject's Optics.",Experiments by J F Pearcy and Dr T Koppyani on transplanting eyeballs on fish as cure for blindness,article,Archives,None,Archives,"['CHICAGO, UNIV OF', 'FISH', 'Blindness']"
12/25/1924,GET SIGHT FOR CHRISTMAS.; Two Kentucky Girls Will See Their First Celebration.,Cellulose Products Co has explosion in mixing room; 3 burned,article,Archives,None,Archives,"['N Y C', 'N J', 'NEWARK', 'KEARNEY , BERNARD', 'Assaults', 'POLICEMEN, ATTACKS BY', 'Blindness', 'ACCIDENTS', 'Explosions']"
12/30/1924,"l0,000-Foot Airplane Dive to Restore Hearing Planned for Army Aspirant at Mitchel Field","Attempt will be made at Mitchel Field air station to restore hearing of J Kling by 10,000 ft dive; he wishes to enlist",article,Archives,None,Archives,"['AERONAUTICS', 'Deafness', 'Deafness']"
12/31/1924,"TRIP IN AIR FAILS TO CURE DEAF MAN; "" Its Just the Same,"" He Says, After Forty Minutes of Dives and Spirals.",Air trip does not help hearing of J Kling; physician says his trouble is organic; thinks non-organic deafness might be helped,article,Archives,None,Archives,"['AERONAUTICS', 'Deafness', 'Deafness']"
1/4/1925,SEAMEN STRICKEN BLIND.; Two of the Nokomis's Crew Suddenly Afflicted at Cardenas.,Report that 2 members of crew of U S S Nokomis are stricken,article,Archives,None,Archives,['Blindness']
1/6/1925,Embezzlements Last Year Exceeded Total for 1923,"Late at hearing of J G Schimpff, European war veteran, case involving guardianship",article,Archives,None,Archives,"['Western Electric Co', 'AMER SURETY CO', 'SCHIMPFF, JNO G', 'MACKENTY , JNO E', 'WHITMAN, CHAS SEYMOUR', 'PLAYS AND OPERAS', 'EUROPEAN WAR', 'Veterans', 'Speech', 'EMBEZZLEMENTS AND DEFALCATIONS', 'Statistics', 'Deafness']"
2/11/1925,"CELTIC ARRIVES, REFITTED.; Passenger Says it Rained 276 Days in Ireland Last Year.",X-ray room and day clinic opened at Police Headquarters,article,Archives,None,Archives,"['N Y C', 'Ireland', 'N Y C', 'POLICE DEPT', 'LOVENS , JNO', 'PERKINSON, ARTH', 'CELTIC (S S)', 'Assaults', 'Deafness', 'GAS RATES', 'N Y LEGIS ACTION', 'Weather', 'CLINIC']"
2/13/1925,Ready to Fly to Cure Deafness.,"H Olstead, N J trooper, will try flying cure at Mitchel Field",article,Archives,None,Archives,['Deafness']
2/17/1925,AIR DIVE HELPS DEAF MAN.; Trooper Says After Flight He Can Hear Voices Now.,Annual report,article,Archives,None,Archives,"['PHOENIX HOSIERY CO', 'Deafness']"
2/21/1925,SHOT DEAD ON CAMPUS.; Tallahatchie Planter Attacks Son-In- Law and Is Killed.,G Carlson blinded by overdose,article,Archives,None,Archives,"['MISS', 'Oxford', 'N Y C', 'N Y C', 'PERKINS, JNO L', 'CARLSON, GUSTAVE', 'MURDERS', 'Blindness', 'ACCIDENTS', 'POISONING', 'Hospitals', 'QUININE']"
